"";"CO_MUNICIPIO";"Finais";"Iniciais";"Cod_Municio";"total";"Instituição";"UF";"Populacao";"Coluna";"Conta";"Valor";"gasto_aluno"
"1";"1100015";709;1169;"1100015";1878;"Prefeitura Municipal de Alta Floresta D'Oeste - RO";"RO";25506;"Despesas Empenhadas";"12 - Educação";19294795,68;10274,1191054313
"2";"1100023";1990;6846;"1100023";8836;"Prefeitura Municipal de Ariquemes - RO";"RO";105896;"Despesas Empenhadas";"12 - Educação";75486592,14;8543,07289950204
"3";"1100031";NA;596;"1100031";NA;"Prefeitura Municipal de Cabixi - RO";"RO";6289;"Despesas Empenhadas";"12 - Educação";6515250,56;NA
"4";"1100049";1198;3764;"1100049";4962;"Prefeitura Municipal de Cacoal - RO";"RO";87877;"Despesas Empenhadas";"12 - Educação";45666510,58;9203,24679161628
"5";"1100056";NA;1001;"1100056";NA;"Prefeitura Municipal de Cerejeiras - RO";"RO";17959;"Despesas Empenhadas";"12 - Educação";13284439,9;NA
"6";"1100064";336;1273;"1100064";1609;"Prefeitura Municipal de Colorado do Oeste - RO";"RO";18639;"Despesas Empenhadas";"12 - Educação";12801983,49;7956,48445618397
"7";"1100072";172;579;"1100072";751;"Prefeitura Municipal de Corumbiara - RO";"RO";8749;"Despesas Empenhadas";"12 - Educação";8353735,59;11123,4828095872
"8";"1100080";420;1377;"1100080";1797;"Prefeitura Municipal de Costa Marques - RO";"RO";17031;"Despesas Empenhadas";"12 - Educação";13901624,42;7736,01804117974
"9";"1100098";711;1502;"1100098";2213;"Prefeitura Municipal de Espigão D'Oeste - RO";"RO";32712;"Despesas Empenhadas";"12 - Educação";20723438,79;9364,40975598735
"10";"1100106";193;3241;"1100106";3434;"Prefeitura Municipal de Guajará-Mirim - RO";"RO";47048;"Despesas Empenhadas";"12 - Educação";22724278,2;6617,43686662784
"11";"1100114";442;3211;"1100114";3653;"Prefeitura Municipal de Jaru - RO";"RO";55806;"Despesas Empenhadas";"12 - Educação";32559993,95;8913,22035313441
"12";"1100122";677;3855;"1100122";4532;"Prefeitura Municipal de Ji-Paraná - RO";"RO";131560;"Despesas Empenhadas";"12 - Educação";50617703,75;11168,9549315975
"13";"1100130";550;3241;"1100130";3791;"Prefeitura Municipal de Machadinho D'Oeste - RO";"RO";37899;"Despesas Empenhadas";"12 - Educação";32865475,94;8669,34211026114
"14";"1100148";616;1046;"1100148";1662;"Prefeitura Municipal de Nova Brasilândia D'Oeste - RO";"RO";21670;"Despesas Empenhadas";"12 - Educação";14733918,68;8865,17369434416
"15";"1100155";181;2999;"1100155";3180;"Prefeitura Municipal de Ouro Preto do Oeste - RO";"RO";39840;"Despesas Empenhadas";"12 - Educação";26494189,45;8331,5061163522
"16";"1100189";506;2413;"1100189";2919;"Prefeitura Municipal de Pimenta Bueno - RO";"RO";37786;"Despesas Empenhadas";"12 - Educação";27951926,51;9575,85697499144
"17";"1100205";4413;28460;"1100205";32873;"Prefeitura Municipal de Porto Velho - RO";"RO";511219;"Despesas Empenhadas";"12 - Educação";295237374,44;8981,1509275089
"18";"1100254";131;1099;"1100254";1230;"Prefeitura Municipal de Presidente Médici - RO";"RO";22337;"Despesas Empenhadas";"12 - Educação";11761546,48;9562,23291056911
"19";"1100262";86;332;"1100262";418;"Prefeitura Municipal de Rio Crespo - RO";"RO";3790;"Despesas Empenhadas";"12 - Educação";5790268,8;13852,3177033493
"20";"1100288";418;3121;"1100288";3539;"Prefeitura Municipal de Rolim de Moura - RO";"RO";56664;"Despesas Empenhadas";"12 - Educação";33435507,02;9447,72732975417
"21";"1100296";59;615;"1100296";674;"Prefeitura Municipal de Santa Luzia D'Oeste - RO";"RO";8362;"Despesas Empenhadas";"12 - Educação";6618394,42;9819,57629080119
"22";"1100304";1010;6602;"1100304";7612;"Prefeitura Municipal de Vilhena - RO";"RO";93745;"Despesas Empenhadas";"12 - Educação";58807073,99;7725,57461770888
"23";"1100320";693;1855;"1100320";2548;"Prefeitura Municipal de São Miguel do Guaporé - RO";"RO";24059;"Despesas Empenhadas";"12 - Educação";21602718,8;8478,30408163265
"24";"1100338";1134;2116;"1100338";3250;"Prefeitura Municipal de Nova Mamoré - RO";"RO";28891;"Despesas Empenhadas";"12 - Educação";22578922,98;6947,36091692308
"25";"1100346";500;947;"1100346";1447;"Prefeitura Municipal de Alvorada D'Oeste - RO";"RO";16747;"Despesas Empenhadas";"12 - Educação";11717432,06;8097,74157567381
