"";"Cod_Municipio";"Nome_Municipio";"Populacao";"desp_aluno_mat";"Indicador";"CO_MUNICIPIO";"CO_ENTIDADE";"IN_LOCAL_FUNC_PREDIO_ESCOLAR";"IN_LOCAL_FUNC_SALAS_EMPRESA";"IN_LOCAL_FUNC_SOCIOEDUCATIVO";"IN_LOCAL_FUNC_UNID_PRISIONAL";"IN_LOCAL_FUNC_PRISIONAL_SOCIO";"IN_LOCAL_FUNC_TEMPLO_IGREJA";"IN_LOCAL_FUNC_CASA_PROFESSOR";"IN_LOCAL_FUNC_GALPAO";"IN_AGUA_FILTRADA";"IN_AGUA_REDE_PUBLICA";"IN_AGUA_POCO_ARTESIANO";"IN_AGUA_CACIMBA";"IN_AGUA_FONTE_RIO";"IN_AGUA_INEXISTENTE";"IN_ENERGIA_REDE_PUBLICA";"IN_ENERGIA_INEXISTENTE";"IN_LABORATORIO_INFORMATICA";"IN_QUADRA_ESPORTES";"IN_BIBLIOTECA";"IN_SALA_LEITURA";"IN_INTERNET";"IN_BANDA_LARGA";"IN_ALIMENTACAO";"UF";"Nome_Escola";"Indicador_Escola";"num_matriculas"
"1";"4318481";"São José do Hortêncio";4504;12101,1717829457;5,1;4318481;43175171;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF SAO JOSE";5,1;377
"2";"4317707";"Santo Antônio das Missões";11111;13450,5502987198;4,05;4317707;43131328;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;1;1;"RS";"EMEF SUBPREFEITO DEOCLECIANO RODRIGUES DA SILVA";4,6;301
"3";"4317707";"Santo Antônio das Missões";11111;13450,5502987198;4,05;4317707;43180892;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;1;"RS";"ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL SANTO ANTONIO";3,5;408
"4";"4301651";"Barão";6109;16276,2755807365;5,4;4301651;43020712;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"ESC MUN ENS FUN CARLOS GOMES";5,4;428
"5";"4305959";"Cotiporã";4000;15088,0177118644;5,5;4305959;43206085;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;1;1;"RS";"EMEF CAMINHOS DO SABER";5,5;265
"6";"4321667";"Três Cachoeiras";10904;17403,7015194346;4,8;4321667;43178774;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF FERNANDO FERRARI";4,3;192
"7";"4321667";"Três Cachoeiras";10904;17403,7015194346;4,8;4321667;43156932;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF JOSE FELIPE SCHAEFFER";5,3;542
"8";"4322251";"Tupandi";4421;17072,0485791367;5,1;4322251;43161766;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF SAO FRANCISCO";5,1;618
"9";"4308201";"Flores da Cunha";29603;14574,712704142;5,26666666666667;4308201;43062881;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;1;0;1;"RS";"ESC MUN ENS FUN RIO BRANCO";5,4;478
"10";"4308201";"Flores da Cunha";29603;14574,712704142;5,26666666666667;4308201;43063225;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;0;1;"RS";"ESC MUN ENS FUND 1º DE MAIO";5,2;1081
"11";"4308201";"Flores da Cunha";29603;14574,712704142;5,26666666666667;4308201;43063055;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF FRANCISCO ZILLI";4,7;514
"12";"4308201";"Flores da Cunha";29603;14574,712704142;5,26666666666667;4308201;43062946;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;0;1;"RS";"ESC MUN ENS FUN TIRADENTES";5,1;210
"13";"4308201";"Flores da Cunha";29603;14574,712704142;5,26666666666667;4308201;43063250;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;1;1;1;"RS";"ESC MUNIC ENS FUN SAO JOSE";6,3;1469
"14";"4308201";"Flores da Cunha";29603;14574,712704142;5,26666666666667;4308201;43206670;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"ESC MUN ENS FUND LEONEL DE MOURA BRIZOLA";4,9;363
"15";"3115904";"Chácara";3072;8630,87577319588;5,2;3115904;31270628;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"MG";"EM PREFEITO NILTO BRETAS";5,2;420
"16";"4307609";"Estância Velha";46877;9417,8417047491;5,28571428571429;4307609;43059910;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;1;1;1;"RS";"EMEF FERNANDO FERRARI";6,2;521
"17";"4307609";"Estância Velha";46877;9417,8417047491;5,28571428571429;4307609;43059961;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF ANITA GARIBALDI";5,3;402
"18";"4307609";"Estância Velha";46877;9417,8417047491;5,28571428571429;4307609;43060099;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF NICOLAU ANSELMO WECKER";4,2;448
"19";"4307609";"Estância Velha";46877;9417,8417047491;5,28571428571429;4307609;43059945;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF OTAVIO ROCHA";5,8;648
"20";"4307609";"Estância Velha";46877;9417,8417047491;5,28571428571429;4307609;43176941;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF ERVINO ARTHUR RITTER";5,5;356
"21";"4307609";"Estância Velha";46877;9417,8417047491;5,28571428571429;4307609;43060056;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF WALTER JACOB BAUERMANN";5,1;628
"22";"4307609";"Estância Velha";46877;9417,8417047491;5,28571428571429;4307609;43060064;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF SELVINO RITTER";4,9;251
"23";"4304671";"Capivari do Sul";4362;16541,1439566396;4,8;4304671;43203930;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;0;1;"RS";"EMEF CAPIVARI";4,8;645
"24";"4319505";"São Sebastião do Caí";24825;12895,7779534884;3,96666666666667;4319505;43144055;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;1;1;"RS";"ESC MUN DOUTOR ALBERTO PASQUALINI";4,3;141
"25";"4319505";"São Sebastião do Caí";24825;12895,7779534884;3,96666666666667;4319505;43169554;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"ESC MUN ENS FUN SAO JOSE";4,5;397
"26";"4319505";"São Sebastião do Caí";24825;12895,7779534884;3,96666666666667;4319505;43144047;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;1;1;1;"RS";"ESC MUNICIPAL GENERAL DAVID CANABARRO";3,1;579
"27";"4314704";"Planalto";10623;16637,2659038462;4,8;4314704;43171710;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"EMEF MARIO QUINTANA";4,8;727
"28";"2910107";"Dom Basílio";12553;6859,85289986996;3,7;2910107;29237262;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1;1;1;"BA";"NUCLEO EDUCACIONAL SAO JOSE";3;159
"29";"2910107";"Dom Basílio";12553;6859,85289986996;3,7;2910107;29237360;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;1;1;1;"BA";"NUCLEO EDUCACIONAL SAO CRISTOVAO";3,3;343
"30";"2910107";"Dom Basílio";12553;6859,85289986996;3,7;2910107;29330297;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1;1;1;"BA";"NUCLEO EDUCACIONAL INTEGRADO ALFREDO SOUZA MACHADO";3,9;149
"31";"2910107";"Dom Basílio";12553;6859,85289986996;3,7;2910107;29237050;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;1;1;1;"BA";"CENTRO EDUCACIONAL PADRE MANOEL OLIMPIO";4,6;552
"32";"3161304";"São Francisco de Sales";6224;7124,32831835687;4,5;3161304;31165051;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;1;1;1;"MG";"ESCOLA MUNICIPAL SANTA TEREZINHA";4,5;889
"33";"3153608";"Prudente de Morais";10485;11584,2287394958;3,2;3153608;31219436;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;1;1;1;"MG";"EM JELIOMAR BRANDAO";3,2;474
"34";"4305850";"Coqueiros do Sul";2467;17633,0660992908;4,2;4305850;43039782;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;1;1;1;"RS";"EMEF JUSTINIANO ROCHA";4,2;113
"35";"2311264";"Quiterianópolis";20777;7317,39093883911;4,73;2311264;23093080;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;1;0;1;"CE";"MANOEL RODRIGUES DO NASCIMENTO EEF";5,1;264
"36";"2311264";"Quiterianópolis";20777;7317,39093883911;4,73;2311264;23240245;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"CE";"ROBERTO ANTUNES DE FREITAS EEF";4,5;411
"37";"2311264";"Quiterianópolis";20777;7317,39093883911;4,73;2311264;23092955;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;1;"CE";"ZACARIAS BEZERRA DO NASCIMENTO EEIF";5,1;210
"38";"2311264";"Quiterianópolis";20777;7317,39093883911;4,73;2311264;23545623;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;1;"CE";"ANTONIO LAURINDO SOARES EEIF";4,3;289
"39";"2311264";"Quiterianópolis";20777;7317,39093883911;4,73;2311264;23093242;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;"CE";"JOSE DOMINGOS DA SILVA EEIF";4,1;251
"40";"2311264";"Quiterianópolis";20777;7317,39093883911;4,73;2311264;23093137;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;1;"CE";"VIRGILIO TAVORA EEIF";5,4;323
"41";"2311264";"Quiterianópolis";20777;7317,39093883911;4,73;2311264;23204052;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;1;0;1;"CE";"FRANCISCO DE ASSIS FERREIRA EEIF";4,7;354
"42";"2311264";"Quiterianópolis";20777;7317,39093883911;4,73;2311264;23092904;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;1;0;1;"CE";"PEDRO MANOEL BONFIM EEIF";5,3;248
"43";"2311264";"Quiterianópolis";20777;7317,39093883911;4,73;2311264;23545631;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;1;0;1;0;1;"CE";"DETELVINA ARAUJO LIMA EEIF";5;318
"44";"2311264";"Quiterianópolis";20777;7317,39093883911;4,73;2311264;23093250;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;1;"CE";"JOSE FRANCISCO DAS CHAGAS EEIF";3,8;195
"45";"5200829";"Amaralina";3723;10883,0031775701;4,9;5200829;52083381;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;1;1;1;1;"GO";"ESCOLA MUNICIPAL PEDRO FRANCISCO DIAS";4,9;108
"46";"3301850";"Guapimirim";57105;8562,07543274069;4,13333333333333;3301850;33051062;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;1;1;0;1;"RJ";"E M PROFª ACACIA LEITAO PORTELLA";4,3;1205
"47";"3301850";"Guapimirim";57105;8562,07543274069;4,13333333333333;3301850;33051305;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;1;1;1;"RJ";"E M PROF ILZA JUNGER PACHECO";4;684
"48";"3301850";"Guapimirim";57105;8562,07543274069;4,13333333333333;3301850;33096910;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;1;1;1;"RJ";"E M ROSA DE SAROM";4,1;248
"49";"3557204";"Chavantes";12486;12569,5657034632;5,2;3557204;35211813;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;1;1;1;1;"SP";"JOAO BAPTISTA DE MELLO PEIXOTO JUNIOR DR EMEF";5,2;383
"50";"3204104";"Pinheiros";26863;8240,69675901201;4,4;3204104;32015607;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;1;1;1;1;"ES";"EMPEF GOVERNADOR CARLOS LINDENBERG";4,2;622
"51";"3204104";"Pinheiros";26863;8240,69675901201;4,4;3204104;32015666;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;1;1;"ES";"EMEF DR EMIR DE MACEDO GOMES";4,6;513
"52";"1100122";"Ji-Paraná";131560;11168,9549315975;5,275;1100122;11043849;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;1;"RO";"EMEF EDSON LOPES";5,3;150
"53";"1100122";"Ji-Paraná";131560;11168,9549315975;5,275;1100122;11045698;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;1;0;1;1;1;"RO";"EMEIEF PROF IRINEU ANTONIO DRESCH";4,8;274
"54";"1100122";"Ji-Paraná";131560;11168,9549315975;5,275;1100122;11045663;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;1;1;0;1;"RO";"EMEIEF PAULO FREIRE";5,2;214
"55";"1100122";"Ji-Paraná";131560;11168,9549315975;5,275;1100122;11044853;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;1;0;1;1;1;"RO";"EMEIEF ULISSES MATOSINHO PERES DE PONTES";5,8;295
"56";"4305447";"Chuvisca";5292;12460,4033206107;3,35;4305447;43031749;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"ESC MUN ENS FUN SANTA LUZIA";3,5;513
"57";"4305447";"Chuvisca";5292;12460,4033206107;3,35;4305447;43031811;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;1;1;1;"RS";"ESC MUN ENS FUN ARLINDO BONIFACIO PIRES";3,2;390
"58";"2410603";"Rafael Godeiro";3224;12140,0683886256;5,4;2410603;24024538;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;1;1;1;1;"RN";"ESCOLA MUNICIPAL 1º GRAU PROFESSOR RAIMUNDO NONATO DE LIMA";5,4;524
"59";"3154507";"Riacho dos Machados";9665;7179,92559570312;4,33333333333333;3154507;31091766;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0;0;0;1;"MG";"EM PE RICARDO";3,7;240
"60";"3154507";"Riacho dos Machados";9665;7179,92559570312;4,33333333333333;3154507;31091651;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;"MG";"EM ALMIRANTE TAMANDARE";4,2;133
"61";"3154507";"Riacho dos Machados";9665;7179,92559570312;4,33333333333333;3154507;31091928;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1;0;1;"MG";"EM SANTOS DUMONT";5,1;633
"62";"3160900";"São Brás do Suaçuí";3730;10263,9654268293;5,8;3160900;31216950;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;1;1;1;"MG";"EM AMELIA DANUNCIACAO PYRAMO";5,8;519
"63";"2300507";"Alcântaras";11391;7404,86290653009;4,6;2300507;23016930;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;1;1;1;1;"CE";"EEF INOCENCIA ALCANTARA FREIRE";4,6;571
"64";"4210035";"Luzerna";5703;13970,453611691;6,4;4210035;42101395;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;1;1;1;"SC";"EM SAO FRANCISCO";6,4;1197
"65";"3166402";"Seritinga";1874;13217,2233870968;4,9;3166402;31271934;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;1;1;1;"MG";"EM PROF MARY VIEIRA RIBEIRO SOUZA";4,9;225
